item_id,product_name,department_name,price,stock_quantity
1,"2018 Miosoft Apprenticeship Sequel DVD","Miosoft Education",12,5
2,"Starter Pack ","DSA® Solution Suite",5000,5
3,"Extended Pack","DSA® Solution Suite",1000,5
4,"Customization Pack","Configuration and Development",6000,5
5,"Extended Human Resources and Payroll ","Human Resource Management",7000,5
6,"Miosoft SQLL Server 2019 Standard Edition Runtime Server License ",Databases,30000,5
7,"Miosoft SQLL Server 2019 Standard Edition Runtime Client Access Licenses",Databases,50000,5
8,"Full User License","Miosoft Education",3000,5
9,"Limited User License","Miosoft Education",300,5
10,"Self Serve User Client Access Licenses","Miosoft Education",60,5
